dataset,feature_space,run,seed,test_mae,test_rmse,test_r2
SI216,regular,75,116,2.6981818181818182,2.9778200283449165,-0.0065261413383364
SI216,pca10,75,116,2.459090909090909,3.049856926599553,-0.055813227016885625
SI216,regular,76,117,2.2715151515151515,2.8535977645807407,0.11073515844364235
SI216,pca10,76,117,2.4560606060606056,3.02231348272789,0.0024730746089050015
SI216,regular,77,118,3.1209090909090906,3.404155956735499,-0.7659718024069415
SI216,pca10,77,118,2.748484848484849,3.0724060258824495,-0.43854047019311504
SI216,regular,78,119,1.7896969696969698,2.083589075212153,0.05859757068896854
SI216,pca10,78,119,2.050606060606061,2.415543730747079,-0.265263500597372
SI216,regular,79,120,2.5072727272727273,3.0559139551057557,-0.22291322751322773
SI216,pca10,79,120,2.6045454545454545,3.10885879870782,-0.26565515873015877
SI216,regular,80,121,3.1560606060606062,3.461494539132547,-0.3913774258903817
SI216,pca10,80,121,3.355151515151516,3.6612888937690182,-0.5566309021113245
SI216,regular,81,122,2.4227272727272724,2.802206381775012,0.1378079552329099
SI216,pca10,81,122,2.266666666666666,2.6512688024088136,0.22818840492034675
SI216,regular,82,123,2.425757575757576,2.727066170629143,0.2599805281432749
SI216,pca10,82,123,2.591818181818182,2.9217787234989077,0.15053314144736862
SI216,regular,83,124,2.3448484848484847,2.7725745611199883,-5.643910952380953
SI216,pca10,83,124,2.0745454545454547,2.3264895304629105,-3.677992698412699
SI216,regular,84,125,2.8651515151515152,3.3191052402657553,0.11252222961976621
SI216,pca10,84,125,3.114848484848485,3.6257659587842666,-0.059046360408344656
SI216,regular,85,126,2.186060606060607,2.5264295883017334,0.10817041313831122
SI216,pca10,85,126,2.4057575757575758,2.937327686757802,-0.20551404926866845
SI216,regular,86,127,3.036060606060606,3.2029177039352446,0.1555778911564627
SI216,pca10,86,127,2.748181818181818,3.011654298913077,0.2534166969009827
SI216,regular,87,128,1.7760606060606057,2.3584905719077565,0.3362329278983126
SI216,pca10,87,128,2.0290909090909093,2.591887499117353,0.1983593907516984
SI216,regular,88,129,2.5233333333333334,2.823126177509857,0.07626914644529559
SI216,pca10,88,129,2.383030303030303,2.935126862159402,0.0015217113665388915
SI216,regular,89,130,2.331212121212121,2.664865869234341,0.0008340439276484091
SI216,pca10,89,130,2.338181818181819,2.864505880495612,-0.15447984496124034
SI216,regular,90,131,2.042121212121212,2.4307364723432685,0.02863307669082149
SI216,pca10,90,131,2.761818181818182,3.3451236935653856,-0.8396360809178749
SI216,regular,91,132,2.919090909090909,3.5469077441420076,-0.165579709035222
SI216,pca10,91,132,2.9851515151515158,3.659557709104015,-0.24079316828313768
SI216,regular,92,133,2.601818181818182,2.8422320152096714,-0.009785353535353591
SI216,pca10,92,133,2.726363636363636,3.0031560839634133,-0.1273683080808079
SI216,regular,93,134,2.356060606060606,2.5553257911643863,0.08554111368312789
SI216,pca10,93,134,1.8245454545454545,2.0647432398399195,0.40295958076131677
SI216,regular,94,135,1.887272727272727,2.1737729616703048,0.010795924644367627
SI216,pca10,94,135,1.7430303030303032,2.0643197818206755,0.10790422914263742
SI216,regular,95,136,2.2906060606060605,2.86638282597606,-0.055365404576551036
SI216,pca10,95,136,2.8000000000000003,3.4850546711071924,-0.5601043878273175
SI216,regular,96,137,2.532121212121212,2.895187577880078,-0.2045551596727373
SI216,pca10,96,137,2.565757575757576,3.1310738145759567,-0.4088342174716286
SI216,regular,97,138,2.317878787878788,2.897737013253584,0.1490599199702214
SI216,pca10,97,138,2.5721212121212123,3.1282738003085617,0.008276605248464408
SI216,regular,98,139,1.9633333333333332,2.585928706041076,0.2617424270072993
SI216,pca10,98,139,2.152121212121212,2.6865847043667492,0.2031512570965126
SI216,regular,99,140,3.034545454545454,3.6443261560010143,-0.2733872336678991
SI216,pca10,99,140,3.060909090909091,3.8004674087870463,-0.3848414069378412
SI216,regular,100,141,3.807878787878788,4.1988646854196965,-0.3780918748205573
SI216,pca10,100,141,3.7375757575757573,4.14949917873753,-0.34587826586276194
