dataset,feature_space,run,seed,test_mae,test_rmse,test_r2
Combined,regular,42,83,1.6679710144927535,2.058795084040088,-0.13703807189542472
Combined,pca10,42,83,2.0605797101449275,2.44727098329966,-0.6066189429794906
Combined,regular,43,84,2.7556521739130426,3.470120770845189,-0.24805632619296425
Combined,pca10,43,84,2.7784057971014486,3.569276912927802,-0.32039992816091933
Combined,regular,44,85,2.7944927536231887,3.347925307520211,-0.13155561916878744
Combined,pca10,44,85,2.7114492753623187,3.291248900291726,-0.09356811492790529
Combined,regular,45,86,2.467246376811594,3.149189451731755,-0.170004802259887
Combined,pca10,45,86,2.7424637681159423,3.607582527236384,-0.5354038234711072
Combined,regular,46,87,2.3327536231884065,2.95133704245453,0.05345183054870806
Combined,pca10,46,87,2.7026086956521738,3.304127122047114,-0.18636574454487365
Combined,regular,47,88,2.7788405797101445,3.4870525183456134,-0.06779451453445495
Combined,pca10,47,88,3.3344927536231883,4.142104764978545,-0.5066517042939354
Combined,regular,48,89,2.9800000000000004,3.7100352225628543,-0.3916947927285086
Combined,pca10,48,89,3.1542028985507247,3.8900185660796587,-0.5299994860686374
Combined,regular,49,90,2.98536231884058,3.8484281878330817,-0.15692577443066247
Combined,pca10,49,90,3.051159420289855,3.8353540357716835,-0.14907834711557366
Combined,regular,50,91,2.7691304347826082,3.574684540657734,-0.07879947334822845
Combined,pca10,50,91,3.0017391304347827,3.651523009629691,-0.12567589105223953
Combined,regular,51,92,2.0610144927536234,2.967392762470665,-0.0242012044366271
Combined,pca10,51,92,2.1318840579710145,3.1019141667016736,-0.11916667155281946
Combined,regular,52,93,2.3565217391304345,3.212024509444995,-0.2976097638294497
Combined,pca10,52,93,2.6873913043478264,3.44979695544773,-0.4968334257938394
Combined,regular,53,94,3.2849275362318844,4.102610456817278,-0.429184148385946
Combined,pca10,53,94,3.236231884057972,3.9224802367544784,-0.30643905118601755
Combined,regular,54,95,2.8734782608695655,3.3857280024066014,-0.3602531454065103
Combined,pca10,54,95,2.819710144927536,3.301131558302,-0.2931272768057427
Combined,regular,55,96,2.381594202898551,2.955906638913181,-0.02895729444939188
Combined,pca10,55,96,2.6660869565217387,3.1940550151200475,-0.2014361877906401
Combined,regular,56,97,2.180434782608695,2.844207351607333,-0.04171219030617768
Combined,pca10,56,97,2.370144927536232,3.068847208383923,-0.21276252839986998
Combined,regular,57,98,1.9042028985507244,2.4495432878070518,0.1018283059800037
Combined,pca10,57,98,2.143623188405797,2.8364624664661964,-0.20432363390555253
Combined,regular,58,99,3.1847826086956523,3.897099317670444,-0.22808401949794477
Combined,pca10,58,99,3.471304347826087,4.06051899302954,-0.33323966167329067
Combined,regular,59,100,2.8814492753623187,3.545361942643914,-0.03765820848938817
Combined,pca10,59,100,2.947391304347826,3.6493507463061454,-0.09942189450686656
Combined,regular,60,101,3.366376811594203,3.967616741659362,-0.2242735665980593
Combined,pca10,60,101,3.460434782608696,4.175746223340102,-0.3560860188179946
Combined,regular,61,102,2.8844927536231886,3.7221498514847857,-0.20502751470641956
Combined,pca10,61,102,3.094492753623189,3.854651246466281,-0.2923478899484815
Combined,regular,62,103,3.029565217391305,3.92367667466918,-0.6627360646068692
Combined,pca10,62,103,2.8888405797101453,3.6539272102726694,-0.44197149176534656
Combined,regular,63,104,2.542463768115941,3.015651843075945,-0.039500549793527684
Combined,pca10,63,104,2.587101449275362,3.2293493309719956,-0.19204424517430185
Combined,regular,64,105,2.600869565217391,3.412815857513365,-0.24072253098849927
Combined,pca10,64,105,2.6673913043478263,3.381260305868013,-0.21788468474515588
Combined,regular,65,106,3.2279710144927534,3.9121163823909915,-0.1740374532740394
