pc,explained_variance_ratio,feature,loading,abs_loading
PC3,0.10815901618801121,speed_1s_stage2_col1_std_over_mean,0.09370038460315536,0.09370038460315536
PC3,0.10815901618801121,speed_1s_stage2_col2_mean,0.0792785757316939,0.0792785757316939
PC3,0.10815901618801121,speed_1s_stage2_col2_std_over_mean,-0.06661163933339845,0.06661163933339845
PC3,0.10815901618801121,speed_1s_stage3_rows,0.1109701818964137,0.1109701818964137
PC3,0.10815901618801121,speed_1s_stage3_col1_mean,-0.03364707710501127,0.03364707710501127
PC3,0.10815901618801121,speed_1s_stage3_col1_std_over_mean,-0.0010440631159739742,0.0010440631159739742
PC3,0.10815901618801121,speed_1s_stage3_col2_mean,0.04833171409736214,0.04833171409736214
PC3,0.10815901618801121,speed_1s_stage3_col2_std_over_mean,-0.03928363105819356,0.03928363105819356
PC3,0.10815901618801121,speed_1s_stage4_rows,0.2757652173745634,0.2757652173745634
PC3,0.10815901618801121,speed_1s_stage4_col1_mean,0.06464085940298725,0.06464085940298725
PC3,0.10815901618801121,speed_1s_stage4_col1_std_over_mean,-0.06872912677109262,0.06872912677109262
PC3,0.10815901618801121,speed_1s_stage4_col2_mean,0.018859625726957333,0.018859625726957333
PC3,0.10815901618801121,speed_1s_stage4_col2_std_over_mean,-0.008141771327391405,0.008141771327391405
PC3,0.10815901618801121,speed_1s_stage5_rows,0.021587982225566082,0.021587982225566082
PC3,0.10815901618801121,speed_1s_stage5_col1_mean,0.13894218567141908,0.13894218567141908
PC3,0.10815901618801121,speed_1s_stage5_col1_std_over_mean,0.18265642659784062,0.18265642659784062
PC3,0.10815901618801121,speed_1s_stage5_col2_mean,-0.03187884349231845,0.03187884349231845
PC3,0.10815901618801121,speed_1s_stage5_col2_std_over_mean,0.026675548580178485,0.026675548580178485
PC3,0.10815901618801121,speed_10s_avg_rows,0.34031007168344296,0.34031007168344296
PC3,0.10815901618801121,speed_10s_avg_stage2_rows,0.2633337464126973,0.2633337464126973
PC3,0.10815901618801121,speed_10s_avg_stage2_col1_mean,0.03222120869429941,0.03222120869429941
PC3,0.10815901618801121,speed_10s_avg_stage2_col1_std_over_mean,-0.01124965384941337,0.01124965384941337
PC3,0.10815901618801121,speed_10s_avg_stage2_col2_mean,0.07925302646506789,0.07925302646506789
PC3,0.10815901618801121,speed_10s_avg_stage2_col2_std_over_mean,-0.07689472304392905,0.07689472304392905
PC3,0.10815901618801121,speed_10s_avg_stage3_rows,0.1109701818964137,0.1109701818964137
PC3,0.10815901618801121,speed_10s_avg_stage3_col1_mean,-0.03364176419512515,0.03364176419512515
PC3,0.10815901618801121,speed_10s_avg_stage3_col1_std_over_mean,-0.08053275318919001,0.08053275318919001
PC3,0.10815901618801121,speed_10s_avg_stage3_col2_mean,0.04834151825654284,0.04834151825654284
PC3,0.10815901618801121,speed_10s_avg_stage3_col2_std_over_mean,-0.038328534918941705,0.038328534918941705
PC3,0.10815901618801121,speed_10s_avg_stage4_rows,0.2757652173745634,0.2757652173745634
PC3,0.10815901618801121,speed_10s_avg_stage4_col1_mean,0.06463120682311249,0.06463120682311249
PC3,0.10815901618801121,speed_10s_avg_stage4_col1_std_over_mean,-0.03875239654119601,0.03875239654119601
PC3,0.10815901618801121,speed_10s_avg_stage4_col2_mean,0.018862259413382303,0.018862259413382303
PC3,0.10815901618801121,speed_10s_avg_stage4_col2_std_over_mean,0.05785666024646078,0.05785666024646078
PC3,0.10815901618801121,speed_10s_avg_stage5_rows,0.021587982225566082,0.021587982225566082
PC3,0.10815901618801121,speed_10s_avg_stage5_col1_mean,0.13889149671401788,0.13889149671401788
PC3,0.10815901618801121,speed_10s_avg_stage5_col1_std_over_mean,0.09090242389693769,0.09090242389693769
PC3,0.10815901618801121,speed_10s_avg_stage5_col2_mean,-0.03187706487242247,0.03187706487242247
PC3,0.10815901618801121,speed_10s_avg_stage5_col2_std_over_mean,0.07193313144417143,0.07193313144417143
PC4,0.0714317926562574,stage_2_frames,0.16013347345638684,0.16013347345638684
PC4,0.0714317926562574,stage_3_frames,-0.15513917717603098,0.15513917717603098
PC4,0.0714317926562574,stage_4_frames,-0.014020257920292156,0.014020257920292156
PC4,0.0714317926562574,stage_5_frames,-0.2250162124778528,0.2250162124778528
PC4,0.0714317926562574,roam_mean,-0.06167266805911509,0.06167266805911509
PC4,0.0714317926562574,roam_std_over_mean,0.019113266901899406,0.019113266901899406
PC4,0.0714317926562574,roam_early_mean,-0.28284210433007784,0.28284210433007784
PC4,0.0714317926562574,roam_mid_mean,0.08551426078402274,0.08551426078402274
PC4,0.0714317926562574,roam_late_mean,0.1847739242642147,0.1847739242642147
PC4,0.0714317926562574,roam_slope,0.3873672470213568,0.3873672470213568
