pc,explained_variance_ratio,feature,loading,abs_loading
PC5,0.046854171828902454,speed_10s_avg_stage4_col1_mean,0.22133336645045384,0.22133336645045384
PC5,0.046854171828902454,speed_10s_avg_stage4_col1_std_over_mean,0.2486611546490146,0.2486611546490146
PC5,0.046854171828902454,speed_10s_avg_stage4_col2_mean,-0.029620143623859355,0.029620143623859355
PC5,0.046854171828902454,speed_10s_avg_stage4_col2_std_over_mean,0.17711425111143878,0.17711425111143878
PC5,0.046854171828902454,speed_10s_avg_stage5_rows,-0.1309166810279933,0.1309166810279933
PC5,0.046854171828902454,speed_10s_avg_stage5_col1_mean,-0.1329116001725454,0.1329116001725454
PC5,0.046854171828902454,speed_10s_avg_stage5_col1_std_over_mean,0.33507085397701497,0.33507085397701497
PC5,0.046854171828902454,speed_10s_avg_stage5_col2_mean,0.10794412797413569,0.10794412797413569
PC5,0.046854171828902454,speed_10s_avg_stage5_col2_std_over_mean,-0.024270654568877656,0.024270654568877656
PC6,0.03833709773549831,stage_2_frames,0.059251261606274634,0.059251261606274634
PC6,0.03833709773549831,stage_3_frames,-0.009024813721134083,0.009024813721134083
PC6,0.03833709773549831,stage_4_frames,-0.07353235437612772,0.07353235437612772
PC6,0.03833709773549831,stage_5_frames,-0.1387379810410973,0.1387379810410973
PC6,0.03833709773549831,roam_mean,-0.061473454443554516,0.061473454443554516
PC6,0.03833709773549831,roam_std_over_mean,0.058661971179255035,0.058661971179255035
PC6,0.03833709773549831,roam_early_mean,0.08803981117256166,0.08803981117256166
PC6,0.03833709773549831,roam_mid_mean,-0.11086366751843524,0.11086366751843524
PC6,0.03833709773549831,roam_late_mean,-0.21008457276854403,0.21008457276854403
PC6,0.03833709773549831,roam_slope,-0.277608000105682,0.277608000105682
PC6,0.03833709773549831,speed_1s_rows,0.21010881178720098,0.21010881178720098
PC6,0.03833709773549831,speed_1s_stage2_rows,-0.009024813721133729,0.009024813721133729
PC6,0.03833709773549831,speed_1s_stage2_col1_mean,-0.09209667349428807,0.09209667349428807
PC6,0.03833709773549831,speed_1s_stage2_col1_std_over_mean,0.07749706888032488,0.07749706888032488
PC6,0.03833709773549831,speed_1s_stage2_col2_mean,-0.0520388562187674,0.0520388562187674
PC6,0.03833709773549831,speed_1s_stage2_col2_std_over_mean,0.03708013636945747,0.03708013636945747
PC6,0.03833709773549831,speed_1s_stage3_rows,-0.0735323543761277,0.0735323543761277
PC6,0.03833709773549831,speed_1s_stage3_col1_mean,-0.09627947203818905,0.09627947203818905
PC6,0.03833709773549831,speed_1s_stage3_col1_std_over_mean,0.012504205783235873,0.012504205783235873
PC6,0.03833709773549831,speed_1s_stage3_col2_mean,-0.04444323327423368,0.04444323327423368
PC6,0.03833709773549831,speed_1s_stage3_col2_std_over_mean,0.028028947588100497,0.028028947588100497
PC6,0.03833709773549831,speed_1s_stage4_rows,-0.1387379810410976,0.1387379810410976
PC6,0.03833709773549831,speed_1s_stage4_col1_mean,-0.04862654219228087,0.04862654219228087
PC6,0.03833709773549831,speed_1s_stage4_col1_std_over_mean,0.0673826761559511,0.0673826761559511
PC6,0.03833709773549831,speed_1s_stage4_col2_mean,-0.01826135593283535,0.01826135593283535
PC6,0.03833709773549831,speed_1s_stage4_col2_std_over_mean,0.007577076166561894,0.007577076166561894
PC6,0.03833709773549831,speed_1s_stage5_rows,0.3944554588902967,0.3944554588902967
PC6,0.03833709773549831,speed_1s_stage5_col1_mean,-0.15790917275732153,0.15790917275732153
PC6,0.03833709773549831,speed_1s_stage5_col1_std_over_mean,0.33183822181987244,0.33183822181987244
PC6,0.03833709773549831,speed_1s_stage5_col2_mean,0.032509874575709585,0.032509874575709585
PC6,0.03833709773549831,speed_1s_stage5_col2_std_over_mean,-0.03844880963832861,0.03844880963832861
PC6,0.03833709773549831,speed_10s_avg_rows,0.2101088117872012,0.2101088117872012
PC6,0.03833709773549831,speed_10s_avg_stage2_rows,-0.009024813721133824,0.009024813721133824
PC6,0.03833709773549831,speed_10s_avg_stage2_col1_mean,-0.0920956601892555,0.0920956601892555
